Item;Category;Price (R$);Profit (R$)
Pineapple Mint Juice;Drinks;10.50;6.25
Watermelon Juice;Drinks;9.00;5.00
Green Smoothie (spinach, apple, ginger);Drinks;15.00;8.00
Passion Fruit Juice;Drinks;10.00;5.50
Acerola Juice;Drinks;9.50;5.25
Grape Juice;Drinks;11.00;6.00
Vanilla Milkshake;Drinks;18.00;9.00
Chocolate Milkshake;Drinks;18.00;9.00
Strawberry Milkshake;Drinks;18.00;9.00
Cookies and Cream Milkshake;Drinks;20.00;10.00
Peanut Butter Milkshake;Drinks;21.00;10.50
Coffee Shake;Drinks;19.00;9.50
Oreo Shake;Drinks;20.00;10.00
Espresso;Drinks;6.00;4.00
Cappuccino;Drinks;9.00;5.00
Latte;Drinks;10.00;5.50
Hot Chocolate;Drinks;8.00;4.50
Tea (various flavors);Drinks;7.00;4.00
Iced Coffee;Drinks;12.00;6.00
Frappuccino;Drinks;15.00;7.50
Tonic Water;Drinks;8.00;4.00
Coconut Water (canned);Drinks;9.00;4.50
Suco de Laranja Natural (Fresh Orange Juice);Drinks;12.00;6.00
Caldo de Cana (Sugarcane juice);Drinks;8.00;4.00
Caldo de Cana with Lemon;Drinks;9.00;4.50
Mate com Limão (Yerba mate with lemon);Drinks;10.00;5.00
Smoothie de Frutas Vermelhas;Drinks;13.00;7.00
Smoothie de Maracujá;Drinks;12.00;6.50
Sucos de Polpa (Fruit pulp juices);Drinks;9.00;5.00
Chocolate Quente Cremoso;Drinks;12.00;6.00
Café com Leite (Coffee with milk);Drinks;8.00;4.00
Chá Gelado com Pêssego;Drinks;9.00;4.50
Suco Detox;Drinks;16.00;8.00
Vitamina de Frutas (Fruit shake);Drinks;15.00;7.50
Vitamina de Abacate (Avocado shake);Drinks;14.00;7.00
Suco de Milho Verde (Green corn juice);Drinks;11.00;6.00
